순번,STATION_NM,GPS_X,GPS_Y,MAP_X,MAP_Y,STATION_ID,MOBILE_NO
7834,지현1리,12716.091,3754.933,223587.1996,490663.7066,236000337,40304
7835,지현2리.지현초교앞,12715.868,3755.676,223255.257,492036.4569,236000361,40300
7836,내2리.고장촌,12713.049,3747.228,219160.0511,476394.3164,236000590,41287
7837,전말입구.진목2리,12712.86,3747.802,218877.036,477452.3029,236000588,41266
7838,진목1리.오림포,12712.793,3748.218,218777.024,478228.2948,236000587,41254
7839,작은넋고개.진목4리,12712.632,3748.585,218543.0147,478911.2853,236000585,41233
7840,큰넋고개,12712.814,3749.212,218798.9936,480060.2799,236000909,41257
7841,우금1리.마치미,12712.656,3749.434,218574.9582,480478.1351,236000488,41237
7842,우금1리.궁말,12712.379,3749.759,218161.9822,481076.2609,236000487,41217
7843,고인돌.금현5리,12712.055,3750.275,217687.9704,482027.2452,236000499,41187
7844,궁말입구.삼양레미콘,12712.286,3749.866,218031.98,481270.2572,236000908,41201
7845,우현농장,12712.379,3749.752,218161.9824,481059.2611,236000498,41218
7846,맹촌,12712.725,3748.836,218679.1537,479370.6932,236000910,41246
7847,냉정2리회관앞,12716.108,3808.988,223532.3452,516669.0487,236000925,40306
7848,냉정리회관앞,12716.428,3809.288,224002.9873,517220.4007,236000930,40310
7849,냉정1리삼거리,12716.404,3809.505,223958.3256,517620.0477,236000931,40309
7850,냉정1리.신흥동,12716.442,3809.95,224020.1385,518444.8867,236000932,40311
